onset,offset,species,individual,clustername,filename,channelIndex
0.0,0.121815945,Unknown,Unknown,U,audio.wav,0
0.178038688,0.271743261,Unknown,Unknown,U,audio.wav,0
0.290484176,0.393559206,Unknown,Unknown,U,audio.wav,0
0.440411492,0.599709266,Unknown,Unknown,A,audio.wav,0
0.599709266,0.862082069,Unknown,Unknown,B,audio.wav,0
0.880822984,1.077602587,Unknown,Unknown,C,audio.wav,0
1.143195788,1.311864019,Unknown,Unknown,A,audio.wav,0
1.302493561,1.564866365,Unknown,Unknown,B,audio.wav,0
1.864720998,1.967796028,Unknown,Unknown,U,audio.wav,0
2.005277857,2.117723344,Unknown,Unknown,U,audio.wav,0
2.436318892,2.548764379,Unknown,Unknown,U,audio.wav,0
2.698691696,2.773655354,Unknown,Unknown,U,audio.wav,0
2.839248555,2.989175871,Unknown,Unknown,A,audio.wav,0
2.998546328,3.223437303,Unknown,Unknown,B,audio.wav,0
3.23280776,3.43895782,Unknown,Unknown,C,audio.wav,0
3.495180564,3.663848795,Unknown,Unknown,A,audio.wav,0
3.68258971,3.926221599,Unknown,Unknown,B,audio.wav,0
4.029296629,4.254187603,Unknown,Unknown,C,audio.wav,0
4.329151262,4.441596749,Unknown,Unknown,U,audio.wav,0
4.479078578,4.647746809,Unknown,Unknown,A,audio.wav,0
4.629005895,4.891378698,Unknown,Unknown,B,audio.wav,0
4.928860527,5.116269673,Unknown,Unknown,C,audio.wav,0
5.715978939,5.828424426,Unknown,Unknown,U,audio.wav,0
5.865906255,5.9877222,Unknown,Unknown,U,audio.wav,0
6.015833571,6.221983632,Unknown,Unknown,A,audio.wav,0
6.212613174,6.50309735,Unknown,Unknown,B,audio.wav,0
8.39592972,8.517745664,Unknown,Unknown,U,audio.wav,0
8.752007096,8.864452583,Unknown,Unknown,U,audio.wav,0
8.91130487,8.986268528,Unknown,Unknown,U,audio.wav,0
9.070602644,9.248641332,Unknown,Unknown,A,audio.wav,0
9.248641332,9.501643678,Unknown,Unknown,B,audio.wav,0
9.520384593,9.726534653,Unknown,Unknown,C,audio.wav,0
9.764016482,9.951425628,Unknown,Unknown,C,audio.wav,0
10.00764837,10.21379843,Unknown,Unknown,A,audio.wav,0
10.19505752,10.47617124,Unknown,Unknown,B,audio.wav,0
10.71980312,10.89784181,Unknown,Unknown,A,audio.wav,0
10.88847136,11.15084416,Unknown,Unknown,B,audio.wav,0
11.18832599,11.39447605,Unknown,Unknown,C,audio.wav,0
11.44132833,11.62873748,Unknown,Unknown,A,audio.wav,0
11.61936702,11.88173983,Unknown,Unknown,B,audio.wav,0
11.94733303,12.172224,Unknown,Unknown,C,audio.wav,0
12.57515366,12.69696961,Unknown,Unknown,U,audio.wav,0
12.73445144,12.91249013,Unknown,Unknown,A,audio.wav,0
12.91249013,13.17486293,Unknown,Unknown,B,audio.wav,0
13.28730842,13.60590397,Unknown,Unknown,A,audio.wav,0
13.75583128,13.84953585,Unknown,Unknown,U,audio.wav,0
13.86827677,14.07442683,Unknown,Unknown,A,audio.wav,0
14.06505637,14.33679963,Unknown,Unknown,B,audio.wav,0
14.33679963,14.54294969,Unknown,Unknown,C,audio.wav,0
14.59917244,14.8053225,Unknown,Unknown,C,audio.wav,0
16.74,16.827,Unknown,Unknown,U,audio.wav,0
16.85,16.95,Unknown,Unknown,U,audio.wav,0
16.972,17.148,Unknown,Unknown,A,audio.wav,0
17.142,17.382,Unknown,Unknown,B,audio.wav,0
17.407,17.613,Unknown,Unknown,C,audio.wav,0
17.64,17.82,Unknown,Unknown,A,audio.wav,0
17.82,18.067,Unknown,Unknown,B,audio.wav,0
18.15,18.32,Unknown,Unknown,A,audio.wav,0
18.313,18.563,Unknown,Unknown,B,audio.wav,0
18.673,18.857,Unknown,Unknown,C,audio.wav,0
18.883,19.083,Unknown,Unknown,C,audio.wav,0
19.113,19.283,Unknown,Unknown,A,audio.wav,0
19.283,19.533,Unknown,Unknown,B,audio.wav,0
19.62,19.817,Unknown,Unknown,A,audio.wav,0
19.813,20.043,Unknown,Unknown,B,audio.wav,0
20.163,20.34,Unknown,Unknown,A,audio.wav,0
20.337,20.583,Unknown,Unknown,B,audio.wav,0
20.61,20.823,Unknown,Unknown,C,audio.wav,0
20.893,21.07,Unknown,Unknown,A,audio.wav,0
21.07,21.317,Unknown,Unknown,B,audio.wav,0
21.393,21.54,Unknown,Unknown,C,audio.wav,0
21.553,21.763,Unknown,Unknown,C,audio.wav,0
21.78,21.973,Unknown,Unknown,A,audio.wav,0
21.977,22.237,Unknown,Unknown,B,audio.wav,0
23.71,23.833,Unknown,Unknown,U,audio.wav,0
23.958,24.152,Unknown,Unknown,U,audio.wav,0
24.177,24.357,Unknown,Unknown,A,audio.wav,0
24.353,24.6,Unknown,Unknown,B,audio.wav,0
24.63,24.833,Unknown,Unknown,C,audio.wav,0
24.867,25.027,Unknown,Unknown,A,audio.wav,0
25.04,25.283,Unknown,Unknown,B,audio.wav,0
25.307,25.523,Unknown,Unknown,C,audio.wav,0
25.61,25.78,Unknown,Unknown,A,audio.wav,0
25.777,26.043,Unknown,Unknown,B,audio.wav,0
27.85,27.97,Unknown,Unknown,U,audio.wav,0
28.633,28.74,Unknown,Unknown,U,audio.wav,0
29.217,29.41,Unknown,Unknown,U,audio.wav,0
29.443,29.617,Unknown,Unknown,A,audio.wav,0
29.617,29.863,Unknown,Unknown,B,audio.wav,0
29.897,30.097,Unknown,Unknown,C,audio.wav,0
30.137,30.313,Unknown,Unknown,C,audio.wav,0
30.407,30.58,Unknown,Unknown,A,audio.wav,0
30.58,30.823,Unknown,Unknown,B,audio.wav,0
